plot	X	Y	Mitigada2	Mitigada3	Mitigada4	Water2	Water3	Water4
430431	304960	4574812	68.76	65.3	58.07	0.0738	0.066	0.2963
430432	306901	4574802	18.97	20.22	25.37	0.3128	0.0892	0.1407
430436	290881	4573784	4.94	6.22	5.99	0.5947	0.2728	0.5298
430440	295954	4573826	18.23	27.79	24.75	0.5183	0.0791	0.2265
430441	297914	4573767	21.2	48.2	46.03	0.6059	0.0713	0.1855
430444	313875	4573771	85.62	75.28	75.59	0.3118	0.303	0.424
430448	290961	4572767	34.51	27.22	28.14	0.1311	0.0592	0.2139
430450	294947	4572755	57.11	25.08	21	0.1694	0.4442	0.622
430458	289966	4571906	2.89	2.8	2.62	0.4932	0.3158	0.5043
430462	314887	4571843	220.43	205.17	300.28	0.3692	0.0909	0.1856
430463	293932	4570816	35.01	35.22	45.02	0.2857	0.2598	0.136
430465	299925	4570816	27.35	28.77	24.22	0.5363	0.442	0.5707
430466	300935	4570787	45.81	46.89	53.08	0.1209	0.0398	0.0851
430468	311783	4570701	107.72	121.97	143.73	0.3054	0.0528	0.1192
430470	294894	4569788	24.59	36.6	27.81	0.5578	0.208	0.4932
430472	298888	4569839	18.9	19.55	24.39	0.5017	0.3712	0.3414
430475	305919	4569797	72.43	61.52	73.1	0.2899	0.1688	0.3289
430477	308934	4569782	18.66	24.78	24.77	0.4442	0.1113	0.2034
430481	314914	4569762	23.6	25.21	46.1	0.6114	0.3127	0.2065
430484	292920	4568825	27.63	33.73	30.45	0.3023	0.0571	0.2293
430490	310918	4568755	80.59	99.65	125.99	0.5226	0.2873	0.238
430492	314890	4568801	38.75	70.26	95.4	0.6339	0.1406	0.1248
430495	301946	4567789	9.19	6.87	9.66	0.0431	0.0652	0.0762
430496	302934	4567808	66.24	58.77	49.1	0.2529	0.2202	0.4037
430499	310930	4567821	3.16	6.05	16.39	0.7949	0.6135	0.3491
430501	312998	4567795	25.37	23.54	28.87	0.4264	0.2429	0.4829
430505	306955	4566853	30.88	19.64	32.45	0.1974	0.3614	0.1678
