plot	X	Y	ErosIFN2	ErosIFN3	ErosIFN4
81492	444792	4631830	122.6830851	122.708572	166.4756593
81498	370921	4619786	18.96798146	21.23127758	33.83486597
81499	385904	4631822	69.9779692	52.47413989	66.56399444
81502	388944	4631781	44.36901712	32.07265092	36.1181734
81503	389899	4631808	26.00076208	19.38427373	29.87256303
81504	390881	4631833	152.6147682	140.2600498	167.4987764
81505	391909	4631760	56.90468114	74.38731817	99.15716827
81506	392921	4631754	57.36768995	68.04982789	84.76890717
81509	395852	4631830	28.48049028	59.15090321	73.77023346
81510	397819	4631757	82.16178671	61.10558786	90.59335787
81512	399904	4631796	27.19252577	54.68972654	93.29418999
81516	387936	4630774	65.25158454	51.79659026	64.49737331
81520	391917	4630840	54.42163393	46.37327641	87.44844092
81524	397884	4630767	38.07306208	44.19722931	83.62819071
81525	400897	4630829	38.57591551	52.16695887	72.08503283
81526	383874	4629761	60.24636666	23.54222616	39.14233519
81527	384901	4629766	31.35013698	14.32101076	26.99981607
81528	385906	4629851	67.27719012	52.75399869	42.61443799
81532	389909	4629809	135.8324257	134.5846666	188.9568391
81533	390906	4629790	70.51253061	28.51706179	60.47908128
81534	392903	4629791	4.784832544	2.967018012	10.14003954
81535	395904	4629792	32.07005826	24.35939156	51.53419471
81538	383836	4628716	60.00570342	48.95455988	61.70206684
81539	384875	4628742	38.25434041	43.61909356	56.74868075
81541	386886	4628731	64.36313129	55.76144594	66.01669882
81543	388906	4628796	56.36094519	35.44983266	65.72577089
81545	390906	4628796	84.28025223	55.70103869	124.1954543
81548	394904	4628790	75.45823855	66.94508035	100.1062526
81549	395903	4628786	14.50929949	6.857328623	16.11246978
81551	386906	4627796	75.14616446	45.597255	107.8696162
81553	388928	4627760	62.19832951	68.06757527	76.98040493
81556	397874	4627793	55.88556319	66.46414121	103.7924609
81558	399826	4627802	31.9004557	38.37589322	41.75696955
81561	386906	4626796	64.18054075	63.82776578	119.5495899
81564	391912	4626826	19.61615254	43.18418899	54.52960557
81565	393919	4626850	13.33917653	15.61717117	27.92270692
81569	375905	4625777	21.50758058	30.85983014	35.18743852
81571	382900	4625769	122.46831	137.9110643	199.9065644
