ID	PLOTS	X	Y	SetasIFN2	SetasIFN3	SetasIFN4	MaderaIFN23	MaderaIFN34	AguaIFN2	AguaIFN4	CarbonoIFN2	CarbonoIFN4
377	430127	331841	4577830	NA	NA	NA	2.003	1.601	0.614	0.564	1.192	0.523
379	430128	332896	4577837	30.581	18.95308915	36.835	3.056	2.237	0.515	0.328	1.07	0.69
380	430129	333897	4577845	NA	NA	NA	1.732	1.155	0.315	0.218	1.849	1.556
381	430130	334903	4577851	NA	NA	NA	3.21	1.638	0.103	0.159	3.883	1.849
369	430131	335966	4577794	NA	NA	NA	1.956	1.108	0.195	0.15	2.954	1.462
368	430134	338949	4577793	14.495	5.837815679	6.731	6.128	1.604	0.138	0.136	3.715	1.203
374	430135	339928	4577802	37.011	14.65140464	12.753	3.284	1.048	0.318	0.297	1.385	0.012
587	430139	350867	4595815	18.576	11.67328941	11.331	1.162	1.088	0.067	0.057	-0.594	0.408
578	430143	363886	4594842	30.621	26.46308322	15.769	1.707	1.552	0.306	0.077	0.525	0.712
577	430145	365895	4594819	17.159	27.23691746	32.638	0.795	1.035	0.524	0.189	0.396	0.576
566	430146	354923	4593799	24.932	10.17741316	11.378	4.562	3.593	0.261	0.053	2.131	1.469
547	430154	345866	4591803	20.143	9.668087366	6.151	2.266	1.833	0.062	0.085	1.127	0.558
551	430157	360984	4591866	1.448	2.718240046	22.522	0.125	0.971	0.702	0.111	0.051	0.464
545	430158	363837	4591765	19.681	18.46753414	20.017	2.405	1.271	0.409	0.185	0.891	-0.234
550	430161	368884	4591819	19.199	14.1360991	10.619	5.189	5.464	0.305	0.121	1.734	1.584
537	430177	363914	4589821	NA	NA	NA	0.055	0.282	0.576	0.277	0.038	0.171
538	430178	366006	4589934	22.946	18.90213179	23.578	5.241	3.535	0.476	0.115	1.939	1.109
521	430180	348852	4588783	29.943	22.60460911	19.434	0.896	0.958	0.414	0.108	0.503	0.359
524	430181	356906	4588806	17.174	17.24350008	15.487	0.396	0.281	0.622	0.341	0.191	0.132
525	430184	367892	4588816	26.021	27.2125366	31.368	1.116	0.828	0.773	0.447	0.441	0.364
514	430190	359902	4587812	NA	NA	NA	0	0.323	0.733	0.292	-0.272	0.211
511	430194	368915	4587774	22.289	15.17017466	11.527	7.691	8.637	0.117	0.116	3.123	2.624
519	430196	370891	4587867	12.298	21.95860819	22.701	1.036	0.963	0.519	0.342	0.503	0.457
507	430199	363839	4586810	7.037	23.08707417	28.248	1.037	2.559	0.526	0.114	0.595	1.014
503	430200	366861	4586797	1.33	2.281453447	8.505	0.177	0.381	0.623	0.282	0.091	0.188
489	430205	356932	4585749	30.198	26.22487584	17.655	1.206	0.835	0.014	0.199	0.612	0.281
490	430208	365967	4585755	24.943	11.87123836	10.173	6.981	4.676	0.106	0.052	2.961	1.395
495	430209	366967	4585822	NA	NA	NA	2.319	2.26	0.534	0.141	1.879	1.534
498	430211	368915	4585863	20.173	17.29226134	22.679	2.234	1.258	0.326	0.155	0.945	0.561
487	430212	370002	4585699	25.439	25.57373069	19.681	1.453	1.638	0.424	0.204	0.766	0.764
484	430217	368971	4584821	NA	NA	NA	0.416	0.663	0.149	0.132	0.897	0.904
476	430219	370887	4584778	8.561	3.254934616	3.007	10.259	6.177	0.024	0.056	3.323	1.537
462	430222	358981	4583771	4.729	6.522263954	25.53	0.194	1.31	0.621	0.033	-0.107	0.746
473	430223	359918	4583853	10.513	5.109081383	3.948	7.267	4.275	0.085	0.107	2.512	0.845
463	430229	369938	4583782	28.452	20.74356209	26.953	3.129	2.241	0.304	0.132	1.201	0.328
454	430233	354818	4582805	NA	NA	NA	1.042	1.169	0.339	0.164	1.665	1.426
448	430236	360908	4582748	33.119	29.21872418	21.615	5.464	0.737	0.466	0.499	2.221	-1.057
442	430243	364013	4581818	34.491	34.4079607	31.81	0.78	0.59	0.52	0.288	0.363	0.273
436	430244	366935	4581773	NA	NA	NA	0	0	0.509	0.352	-0.694	0
444	430246	369933	4581836	29.931	22.65028732	16.595	1.858	2.027	0.137	0.107	0.982	0.587
437	430247	370906	4581781	30.471	25.46859191	16.083	3.047	2.502	0.429	0.12	1.023	1.026
434	430250	352059	4580934	NA	NA	NA	1.341	1.185	0.057	0.129	1.573	1.393
427	430251	352928	4580788	30.394	21.63055009	21.278	3.702	1.852	0.196	0.064	1.541	0.833
424	430254	368889	4580768	5.755	19.78290181	31.373	0.422	0.998	0.665	0.521	0.158	0.799
430	430256	370932	4580802	32.995	26.97015583	28.454	2.079	2.14	0.312	0.082	0.867	1.208
431	430257	371987	4580820	7.445	28.9871226	36.349	1.389	3.791	0.391	0.185	0.663	1.404
386	430272	352896	4578775	31.901	20.5222346	15.251	1.531	2.435	0.223	0.053	0.766	1.087
388	430273	366974	4578795	31.989	25.23529557	20.167	1.614	1.412	0.194	0.105	0.919	0.611
392	430274	367977	4578817	30.52	14.92118073	9.21	9.763	7.871	0.398	0.113	3.806	2.318
384	430275	368956	4578751	25.853	10.73931124	5.59	8.115	8.799	0.256	0.113	2.847	2.235
382	430276	369889	4578700	20.105	33.86403948	22.039	1.848	3.009	0.47	0.257	1.12	1.474
365	430279	366926	4577773	35.723	20.36867889	13.119	5.318	6.447	0.56	0.143	1.874	2.082
